tweet_clean,Tweet
"['kesel', 'gw', 'isi', 'twitter', 'bencong', 'joget', 'ga', 'mikir', 'indonesia', 'm']",kesel gw isi twitter bencong joget ga mikir indonesia m
"['khusus', 'presiden', 'jokowi', 'undang', 'presiden', 'as', 'joe', 'biden', 'hadir', 'konferensi', 'tingkat', 'ktt', 'g']",khusus presiden jokowi undang presiden as joe biden hadir konferensi tingkat ktt g
"['kominfo', 'buka', 'sidang', 'dewg', 'presidensi', 'g', 'indonesia', '', 'saj']",kominfo buka sidang dewg presidensi g indonesia saj
"['konsumen', 'konsumen', 'industri', 'rumah', 'tangga', 'daya', 'koperasi', 'koperasi']",konsumen konsumen industri rumah tangga daya koperasi koperasi
"['kuliah', 'umumperan', 'aktif', 'indonesia', 'g', 'upaya', 'indonesia', 'deeskalasi', 'konflik', 'rusia-ukraina', 'xd', 'inaugurasi']",kuliah umumperan aktif indonesia g upaya indonesia deeskalasi konflik rusia-ukraina xd inaugurasi
"['laksana', 'koordinasi', 'bahas', 'isu', 'sherpa', 'track', 'peran', 'mem']",laksana koordinasi bahas isu sherpa track peran mem
"['langsung', 'dorong', 'ubah', 'ukm', 'konvensional', 'digital', 'peran', 'teknologi']",langsung dorong ubah ukm konvensional digital peran teknologi
"['lanjut', 'kunjung', 'menko', 'luhut', 'binsar', 'pandjaitan', 'dubes', 'ros', 'roeslani', 'minggu']",lanjut kunjung menko luhut binsar pandjaitan dubes ros roeslani minggu
"['lanjut', 'temu', 'perdana', 'g', 'education', 'working', 'group', 'edwg', 'maret', 'kemendikbudristek']",lanjut temu perdana g education working group edwg maret kemendikbudristek
"['lapor', 'bisa', 'cewe', 'bego', 'bencong', 'joget', 'suka', 'mending', 'doa', 'perang', 'd']",lapor bisa cewe bego bencong joget suka mending doa perang d
"['lapor', 'cewe', 'bego', 'bencong', 'joget', 'suka', 'perang', 'event', 'g', 'bal', 'ind']",lapor cewe bego bencong joget suka perang event g bal ind
"['lemhanas', 'siap', 'skenario', 'bahas', 'ekonomi', 'global', 'forum', 'g']",lemhanas siap skenario bahas ekonomi global forum g
"['lewat', 'kuliah', 'peran', 'aktif', 'indonesia', 'g', 'upaya', 'indonesia', 'deeskalasi', 'konflik', 'rusia-ukrain']",lewat kuliah peran aktif indonesia g upaya indonesia deeskalasi konflik rusia-ukrain
"['main', 'tebak', 'yuk', 'rekanaker', 'isu', 'prioritas', 'bahas', 'employment', 'working', 'group', 'ewg', 'meeting', 'gindon']",main tebak yuk rekanaker isu prioritas bahas employment working group ewg meeting gindon
"['mangrove', 'forest', 'area', 'tahura', 'ngurah', 'rai', 'telaga', 'waja', 'benoa', 'bay', 'nusa', 'bal', 'recovertogetherrecoverstronger']",mangrove forest area tahura ngurah rai telaga waja benoa bay nusa bal recovertogetherrecoverstronger
"['mantuul', '', 'makan', 'hidang', 'tarik', 'padu', 'warna', 'undang', 'perhati', 'delegasi']",mantuul makan hidang tarik padu warna undang perhati delegasi
"['mari', 'dukung', 'penuh', 'temu', 'g', 'empower', 'jadi', 'perempuan', 'katalisator', 'bangun', 'ek']",mari dukung penuh temu g empower jadi perempuan katalisator bangun ek
