,tweet_tokens_WSW
99,"['pelaksanaannya', 'mengoordinasikan', 'pembahasan', 'isuisu', 'sherpa', 'track', 'berperan', 'mem']"
100,"['pandemi', 'covid', 'menurunkan', 'daya', 'beli', 'masyarakat', 'pasalnya', 'masyarakat', 'mengurangi', 'interaksi', 'ruangan']"
101,"['pasar', 'ekologi', 'argowijil', 'pasar', 'tradisional', 'memegang', 'prinsip', 'pengendalian', 'pembangunan', 'sektor', 'pertambangan']"
102,"['pembahasan', 'isu', 'pertemuan', 'sherpa', 'track', 'diharapkan', 'menghasilkan', 'political', 'declaration', 'tingkat', 'mente']"
103,"['pembentukan', 'pasar', 'ekologis', 'diinisiasi', 'memulihkan', 'lokasi', 'bekas', 'tambang']"
104,"['pemerataan', 'akses', 'energi', 'dinegara', 'kepulauangindonesia', 'dorongnkrilebihmaju']"
105,"['pemerintah', 'indonesia', 'forum', 'mendorong', 'peningkatan', 'aksesibilitas', 'negara', 'kepulauangindonesia']"
106,"['pemerintah', 'indonesia', 'forum', 'mendorong', 'peningkatan', 'aksesibilitas', 'negara', 'kepulauanpemerataan', 'aks']"
107,"['penggunaan', 'kendaraan', 'listrik', 'salah', 'strategi', 'mencapai', 'target', 'indonesia', 'menurunkan', 'emisi']"
108,"['percepatan', 'inklusi', 'keuangan', 'transformasi', 'digital', 'mendorong', 'pertumbuhan', 'ekonomi', 'berkelanjutan', 'salah']"
109,"['percepatan', 'inklusi', 'keuangan', 'transformasi', 'digital', 'mendorong', 'pertumbuhan', 'ekonomi', 'berkelanjutan', 'salah', 'fo']"
110,"['persidangan', 'permohonan', 'pergantian', 'perwalian', 'relokasi', 'ketiga', 'anak', 'almh', 'farah', 'rasyid', 'munif', 'tanah', 'air']"
111,"['pertemuan', 'education', 'working', 'group', 'edwg', 'membahas', 'agenda', 'prioritas', 'inisiatif', 'kemendikbudristek']"
112,"['pertemuan', 'berfokus', 'agenda', 'prioritas', 'edwg', 'pendidikan', 'berkualitas', 'universal', 'teknologi', 'digi']"
113,"['pertemuan', 'berfokus', 'agenda', 'prioritas', 'edwg', 'pendidikan', 'berkualitas', 'universal', 'teknologi', 'digital']"
114,"['pertemuan', 'bertujuan', 'membahas', 'kajiankajian', 'cswg', 'berdasarkan', 'masukan', 'saran', 'negaranegara']"
115,"['pertemuan', 'digital', 'economy', 'working', 'group', 'dewg', 'diselenggarakan', 'mei', 'yogyakarta', 'pertem']"
116,"['pertemuan', 'digital', 'economy', 'working', 'group', 'dewg', 'diselenggarakan', 'mei', 'yogyakarta', 'pertemuan']"
117,"['pertemuan', 'kelompok', 'kerja', 'pendidikan', 'education', 'working', 'group', 'edwg', 'membahas', 'peningkatan', 'kap']"
118,"['pertemuan', 'mendasari', 'agenda', 'pembahasan', 'agenda', 'pertemuan', 'ketiga', 'labuan', 'bajo', 'juli', 'presidensi']"
119,"['pertemuan', 'mendasari', 'agenda', 'pembahasan', 'agenda', 'pertemuan', 'ketiga', 'labuan', 'bajo', 'juli', 'presidensi']"
120,"['peserta', 'delegasi', 'negara', 'dewg', 'diajak', 'menikmati', 'makan', 'malam', 'pertunjukan', 'sendratari', 'latar', 'belak']"
121,"['planet', 'layak', 'huni', 'smua', 'manusia', 'pandang', 'status', 'ekonomi', 'gindonesia']"
122,"['praktek', 'terbaik', 'jawa', 'barat', 'hunian', 'produktif', 'terjangkaugindonesia', 'uindonesia', 'pulihbersama']"
123,"['presiden', 'joko', 'widodo', 'berkomunikasi', 'via', 'saluran', 'telepon', 'presiden', 'rusia', 'vladimir', 'putin', 'terkait', 'agenda', 'ktt', 'komun']"
124,"['presiden', 'joko', 'widodo', 'bertolak', 'amerika', 'serikat', 'salah', 'jadwal', 'kunjungan', 'kerja', 'pernyata']"
125,"['presiden', 'jokowi', 'tegaskan', 'implementasi', 'rencana', 'investasi', 'bertemu', 'chairman', 'ceo', 'air', 'products', 'seif']"
126,"['presiden', 'iriana', 'jokowi', 'washington', 'dcyoutube', 'pusaka']"
127,"['presidensi', 'indonesia', 'menekankan', 'inklusi', 'keuangan', 'digital', 'pembiayaan', 'umkm', 'mengurangi']"
128,"['presidensi', 'indonesia', 'menekankan', 'inklusi', 'keuangan', 'digital', 'pembiayaan', 'umkm', 'mengurangi', 'kesenj']"
129,"['presidensi', 'indonesia', 'usulkan', 'prinsip', 'ukuran', 'literasi', 'digital', 'infrastruktur', 'ekosistem', 'literasi', 'pember']"
130,"['presidensi', 'indonesia', 'usulkan', 'prinsip', 'ukuran', 'literasi', 'digital', 'infrastruktur', 'ekosistem', 'literasi']"
131,"['private', 'finance', 'mewujudkan', 'pembangunan', 'berkelanjutan', 'negaranegara', 'berkembang', 'least', 'developing', 'countries']"
132,"['proporsi', 'energi', 'terbarukan', 'ebt', 'pembangkit', 'listrik', 'indonesia', 'berkisar', 'tertingg']"
133,"['rabu', 'menkominfo', 'johnny', 'plate', 'didampingi', 'chair', 'alternate', 'chair', 'dewg', 'konferen']"
134,"['rabu', 'menkominfo', 'johnny', 'plate', 'didampingi', 'chair', 'alternate', 'chair', 'dewg', 'konferensi', 'pe']"
135,"['rumah', 'tahanan', 'negara', 'kelas', 'iimajene', 'mengucapkanselamat', 'memperingati', 'pendidikan', 'nasional', 'pimpin']"
136,"['sabilulungan', 'filosofi', 'sunda', 'lekat', 'gotong', 'royong', 'alasan', 'dipilihnya', 'bandung', 'lokasi', 'pert']"
137,"['sahabatdikbud', 'mendikbudristek', 'membuka', 'pertemuan', 'edwg', 'menekankan', 'gotong', 'royong', 'sbg', 'pengg']"
138,"['sahabatdikbud', 'mendikbudristek', 'membuka', 'pertemuan', 'edwg', 'menekankan', 'gotong', 'royong', 'sbg']"
139,"['sahabatdikbud', 'melanjutkan', 'pertemuan', 'perdana', 'education', 'working', 'group', 'edwg', 'maret', 'kemendikbudristek']"
140,"['sahabatdikbud', 'melanjutkan', 'pertemuan', 'perdana', 'education', 'working', 'group', 'edwg', 'maret', 'kemendikbudristek']"
141,"['sahabatdikbud', 'pertemuan', 'education', 'working', 'group', 'edwg', 'membahas', 'agenda', 'prioritas', 'inisiatif', 'kemendik']"
142,"['sahabatdikbud', 'pertemuan', 'education', 'working', 'group', 'edwg', 'membahas', 'agenda', 'prioritas', 'inisiatif', 'kemendikbudrist']"
143,"['salah', 'menarik', 'daerah', 'gugusan', 'vulkaniknya', 'gunung', 'berapi']"
144,"['salah', 'menarik', 'daerah', 'gugusan', 'vulkaniknya', 'gunung', 'berapi']"
145,"['salah', 'upaya', 'transisi', 'energi', 'diterapkan', 'gelaran', 'penggunaan', 'kendaraan', 'listrik', 'rama']"
146,"['salah', 'pengampu', 'trade', 'investment', 'and', 'industry', 'working', 'group', 'tiiwg', 'kementerian', 'investasi']"
147,"['salah', 'pengampu', 'trade', 'investment', 'and', 'industry', 'working', 'group', 'tiiwg', 'kementerian', 'investasi', 'bkpm']"
148,"['insinyur', 'pengusaha', 'mengagumi', 'menikmati', 'kesempatan', 'langka', 'kunjungan']"
149,"['insinyur', 'pengusaha', 'mengagumi', 'menikmati', 'kesempatan', 'langka', 'kunjungan']"
150,"['khusus', 'presiden', 'jokowi', 'mengundang', 'presiden', 'as', 'joe', 'biden', 'menghadiri', 'konferensi', 'tingkat', 'ktt']"
151,"['khusus', 'presiden', 'jokowi', 'mengundang', 'presiden', 'as', 'joe', 'biden', 'menghadiri', 'konferensi', 'tingkat', 'ktt']"
152,"['kemendikbud', 'menginisiasi', 'diskusi', 'memperbarui', 'komitmen', 'global', 'meningkatkan', 'pendidikan', 'unit']"
153,"['kemendikbud', 'menginisiasi', 'diskusi', 'memperbarui', 'komitmen', 'global', 'meningkatkan', 'pendidikan']"
154,"['selamat', 'malam', 'temankeu', 'xpertemuan', 'finance', 'ministers', 'and', 'central', 'bank', 'governors', 'fmcbg', 'gindonesia', 'berlangs']"
155,"['selamat', 'malam', 'temankeuberikut', 'agenda', 'gindonesia', 'mei', 'recovertogetherrecoverstronger']"
156,"['selamat', 'memperingati', 'kebangkitan', 'nasional', 'harkitnas', 'harkitnas', 'inidiplomasi', 'indonesianway', 'indone']"
157,"['selamat', 'memperingati', 'kebangkitan', 'nasional', 'harkitnas', 'harkitnas', 'inidiplomasi', 'indonesianway']"
158,"['selaras', 'tujuan', 'indonesia', 'meninggalkan', 'warisan', 'nyata', 'tahan', 'berkelanjutan', 'women']"
159,"['semoga', 'membawa', 'manfaat', 'indonesia', 'pemimpin', 'industri', 'elektrifikasi', 'kehidupan', 'ikli']"
160,"['semoga', 'membawa', 'manfaat', 'indonesia', 'pemimpin', 'industri', 'elektrifikasi', 'kehidupan']"
161,"['bali', 'gindonesiaakan', 'keputusan']"
162,"['keterampilan', 'perempuan', 'empower', 'bantuan', 'bcg', 'boston', 'consulting', 'group']"
163,"['sherpa', 'track', 'forum', 'khusus', 'disiapkan', 'membahas', 'isuisu', 'ekonomi', 'non', 'keuangan', 'panduan', 'pe']"
164,"['sherpa', 'track', 'forum', 'khusus', 'disiapkan', 'membahas', 'isuisu', 'ekonomi', 'non', 'keuangan', 'panduan', 'pembaha']"
165,"['sherpa', 'track', 'salah', 'forum', 'khusus', 'gindonesia']"
166,"['sobatrupiah', 'bi', 'mendorong', 'kerja', 'digitalisasi', 'sistem', 'pembayaran', 'antarnegara', 'agenda', 'presidensi', 'gindonesi']"
167,"['sobatrupiah', 'bi', 'mendorong', 'kerja', 'digitalisasi', 'sistem', 'pembayaran', 'antarnegara', 'agenda', 'presidensi']"
168,"['sobatrupiah', 'inklusi', 'keuangan', 'salah', 'fokus', 'pembahasan', 'presidensi', 'gindonesia', 'hmmm']"
169,"['sobatrupiah', 'inklusi', 'keuangan', 'salah', 'fokus', 'pembahasan', 'presidensi', 'gindonesia', 'hmmm']"
170,"['talk', 'show', 'safeguarding', 'naturetalk', 'show', 'ii', 'promoting', 'circular', 'economyyuk', 'daftarkan', 'dirimu', 'lin']"
171,"['talk', 'show', 'safeguarding', 'naturetalk', 'show', 'ii', 'promoting', 'circular', 'economyyuk', 'daftarkan', 'dirimu', 'link', 'ber']"
172,"['telaga', 'waja', 'mangrove', 'forest', 'area', 'benoa', 'bay', 'nusa', 'bali', 'recovertogetherrecoverstronger', 'gindonesia']"
173,"['sektor', 'energi', 'kontributor', 'perubahan', 'iklim', 'dominan', 'menyumbang', 'emisi']"
174,"['hubungan', 'bonus', 'demografi', 'lpsindonesia', 'amanadalps', 'lpsamanadat', 'sa']"
175,"['terpilih', 'juru', 'bicara', 'presidensi', 'maudy', 'ayunda', 'memaparkan', 'isu', 'transisi', 'energi', 'disiapkan']"
176,"['tertarik', 'isu', 'seputar', 'transformasi', 'digital', 'inklusi', 'keuangan', 'yuk', 'saksikan', 'seminar', 'internasional', 'igital', 'transf']"
177,"['ikuti', 'perkembangan', 'informasi', 'terkini', 'seputar', 'pelaksanaan', 'dewg', 'media', 'sosial', 'xgindonesia', 'pulihbersama']"
178,"['ikuti', 'perkembangan', 'informasi', 'terkini', 'seputar', 'pelaksanaan', 'dewg', 'media', 'sosial', 'xgindonesia']"
179,"['timmarves', 'yuk', 'kunjungi', 'salah', 'lokasi', 'acara', 'mempromosikan', 'produk', 'umkm', 'bali', 'co']"
180,"['timmarves', 'yuk', 'kunjungi', 'salah', 'lokasi', 'acara', 'mempromosikan', 'produk', 'umkm', 'bali', 'collect']"
181,"['transisi', 'energi', 'berkelanjutan', 'salah', 'isu', 'prioritas', 'diangkat', 'forum', 'presidensi', 'indonesia', 'foru']"
182,"['tujuan', 'kegiatan', 'membuka', 'wawasan', 'peran', 'perempuan', 'usaha', 'menengah', 'mengidentifi']"
183,"['umkm', 'salah', 'sektor', 'terdampak', 'pandemi', 'pulihbersama', 'presidensi', 'gindonesia', 'mene']"
184,"['umkm', 'salah', 'sektor', 'terdampak', 'pandemi', 'pulihbersama', 'presidensi', 'gindonesia', 'menetapk']"
185,"['update', 'covid', 'thailand', 'mei', 'orang', 'sembuh']"
186,"['unjuk', 'diikuti', 'ribuan', 'pekerja', 'tergabung', 'serikat', 'pekerja', 'freeport', 'menandai', 'aksi']"
187,"['unjuk', 'diikuti', 'ribuan', 'pekerja', 'tergabung', 'serikat', 'pekerja', 'freeport', 'menandai', 'aksi', 'mogok']"
188,"['negara', 'kerangka', 'inklusi', 'keuangan', 'mendorong', 'digitalisasi', 'berdampak', 'peni']"
189,"['negara', 'kerangka', 'inklusi', 'keuangan', 'mendorong', 'digitalisasi', 'berdampak', 'peningkat']"
190,"['versi', 'budaya', 'jawa', 'thailand', 'nihh', 'numpang', 'rame', 'gindonesia', 'thailandopen', 'thailand', 'wayang', 'polisi']"
191,"['sispreneur', 'program', 'inkubasi', 'umkm', 'milik', 'perempuan', 'bertujuan', 'membantu']"
192,"['xl', 'axiata', 'bangga', 'acara', 'diselenggarakan', 'empower', 'perempuan', 'ukm', 'pe']"
193,"['xl', 'axiata', 'bangga', 'acara', 'diselenggarakan', 'empower', 'perempuan', 'ukm', 'pengge']"
194,"['yuk', 'bergabung', 'kegiatan', 'nd', 'side', 'event', 'development', 'working', 'group', 'dwg', 'temamemperkuat', 'daya', 'sain']"
195,"['yuk', 'bergabung', 'kegiatan', 'nd', 'side', 'event', 'development', 'working', 'group', 'dwg', 'temamemperkuat', 'daya', 'saing', 'umk']"
196,"['yuk', 'mengikuti', 'nd', 'side', 'event', 'diadakan', 'empower', 'tema']"
197,"['yuk', 'mengikuti', 'nd', 'side', 'event', 'diadakan', 'empower', 'temarebu']"
198,"['yuk', 'sahabatbahari', 'dukung', 'kegiatan', 'dewg', 'kenalkan', 'kuliner', 'daerah', 'dunia', 'gindonesia', 'gkkp', 'kkpaccele']"
199,"['yuk', 'sahabatbahari', 'dukung', 'kegiatan', 'dewg', 'kenalkan', 'kuliner', 'daerah', 'dunia', 'gindonesia', 'gkkp']"
200,"['yuk', 'simak', 'video', 'pasar', 'ekologis', 'argowijil', 'yogyakarta']"
201,"['sistem', 'moneter', 'fundamental', 'berlaku', 'barang', 'publik', 'menjaga']"
202,"['uratas', 'pencerahan', 'agama', 'islam', 'menyejukan', 'mencerdaskan', 'inklusif', 'aaamiiin', 'llohumma', 'aaamiiin']"
203,"['ndonesiamaju', 'kamibersamajokowi', 'jokowidodo', 'indonesiamaju', 'indonesiamaju', 'gindonesia']"
204,"['berupaya', 'mewujudkan', 'transformasi', 'digital', 'negeri', 'memperjuangkannya', 'meja']"
205,"['mempromosikan', 'strategi', 'percepatan', 'inklusi', 'keuanganvideo', 'belajartanpabataskitapemelajarumkm']"
206,"['mempromosikan', 'strategi', 'percepatan', 'inklusi', 'keuanganvideo', 'belajartanpabataskitapemelajarumkmgindonesia']"
