,tweet_tokens
53,"['hal', 'ini', 'secara', 'tidak', 'langsung', 'telah', 'mendorong', 'perubahan', 'ukm', 'dari', 'konvensional', 'ke', 'digital', 'dalam', 'hal', 'ini', 'peran', 'teknologi']"
54,"['halo', 'sobatkom', 'indonesia', 'resmi', 'memegang', 'presidensi', 'selama', 'satu', 'tahun', 'penuh', 'artinya', 'akan', 'banyak', 'manfaat', 'serta']"
55,"['halo', 'sobatkom', 'pembentukan', 'bertujuan', 'untuk', 'mewujudkan', 'pertumbuhan', 'global', 'yang', 'kuat', 'serta', 'berkelanjutan', 'lantas']"
56,"['happy', 'vesak', 'daypray', 'for', 'peace', 'and', 'harmony', 'on', 'this', 'auspicious', 'dayselamat', 'hari', 'raya', 'waisak', 'be', 'tahun']"
57,"['hari', 'ini', 'ada', 'turnamen', 'final', 'di', 'arena', 'karenanya', 'dr', 'zomboss', 'bakal', 'muncul', 'kembalipvz', 'arena', 'pennyspursuit', 'gindonesia']"
58,"['indonesia', 'gpedia', 'mengapa', 'lapangan', 'kerja', 'berkelanjutan', 'jadi', 'agenda', 'penting', 'bagi', 'di']"
59,"['indonesia', 'mempunyai', 'peluang', 'untukrewriting', 'global', 'ev', 'and', 'esg', 'supply', 'chain', 'xd', 'dengan', 'kombinasi', 'sumber', 'daya', 'alam', 'indust']"
60,"['ingin', 'tahu', 'lebih', 'lanjut', 'diskusi', 'dan', 'aspirasi', 'para', 'delegasi', 'negara', 'dan', 'kemendikbudristek', 'ikuti', 'terus', 'informasi']"
61,"['ini', 'merupakan', 'kelanjutan', 'dari', 'kunjungan', 'bersama', 'pak', 'menko', 'luhut', 'binsar', 'pandjaitan', 'dan', 'pak', 'dubes', 'rosan', 'roeslani', 'minggu']"
62,"['jadi', 'bagaimana', 'wargi', 'dapat', 'membantu', 'komunitas', 'lokal', 'dalam', 'menghadapi', 'tantangan', 'pemulihan', 'ekonomi', 'dan', 'sosial', 'untuk', 'semua']"
63,"['jangan', 'lewatkan', 'kuliah', 'umum', 'peran', 'aktif', 'indonesia', 'dalam', 'upaya', 'indonesia', 'dalam', 'deeskalasi', 'konflik', 'rusiaukrain']"
64,"['jokowi', 'effect', 'harga', 'sawit', 'rekor', 'tertinggi', 'sepanjang', 'masa', 'minyakgoreng', 'cpo', 'sawit', 'indonesia', 'gindonesia']"
65,"['jubir', 'maudy', 'ayunda', 'jelaskan', 'fokus', 'utama', 'isu', 'energi', 'gindonesia', 'maudyayunda', 'jernihkanharapan', 'kompascom']"
66,"['karena', 'itu', 'presidensi', 'gindonesia', 'menekankan', 'pentingnya', 'perluasan', 'akses', 'keuangan', 'demi', 'meningkatkan', 'inklusi', 'keuangan']"
67,"['kasihan', 'teman', 'kecil', 'kita', 'sedari', 'kecil', 'terlilit', 'karet', 'gelang', 'plastik', 'tubuhnya', 'pun', 'ikut', 'menyusut', 'tertekuk', 'karet']"
68,"['kawal', 'programkerja', 'untuk', 'kebaikan', 'bangsa', 'dan', 'negara', 'gindonesia', 'sayabersamajokowi', 'ht']"
69,"['keberanian', 'presiden', 'tolak', 'intervensi', 'us', 'tetap', 'undang', 'rusia', 'ukraina', 'di', 'gindonesia', 'jadi', 'sorotan', 'media', 'dunia']"
70,"['kegiatan', 'ini', 'akan', 'membahas', 'tantangan', 'serta', 'upaya', 'yang', 'perlu', 'dilakukan', 'dalam', 'memperkuat', 'produktivitas', 'daya', 'saing']"
71,"['kemendikbudristek', 'menekankan', 'pentingnya', 'transformasi', 'berbasis', 'gotong', 'royong', 'untuk', 'pemulihan', 'pendidikan']"
72,"['kominfo', 'hari', 'ini', 'membuka', 'sidang', 'kedua', 'dewg', 'bagian', 'dari', 'presidensi', 'indonesia', 'pada', 'sekitar', 'pukul', 'apa', 'saj']"
73,"['kuliah', 'umumperan', 'aktif', 'indonesia', 'dalam', 'upaya', 'indonesia', 'dalam', 'deeskalasi', 'konflik', 'rusiaukraina', 'xd', 'inaugurasi']"
74,"['lapor', 'pak', 'cewe', 'sekarang', 'bego', 'bencong', 'joget', 'malah', 'disuka', 'padahal', 'perang', 'mau', 'datang', 'di', 'event', 'di', 'bali', 'ind']"
75,"['lemhanas', 'siapkan', 'skenario', 'pembahasan', 'ekonomi', 'global', 'di', 'forum']"
76,"['main', 'tebaktebakan', 'yuk', 'rekanaker', 'apa', 'isu', 'prioritas', 'yang', 'dibahas', 'dalam', 'employment', 'working', 'group', 'ewg', 'meeting', 'gindon']"
77,"['mangrove', 'forest', 'area', 'tahura', 'ngurah', 'rai', 'telaga', 'waja', 'benoa', 'bay', 'nusa', 'dua', 'bali', 'recovertogetherrecoverstronger']"
78,"['mantuul', 'makanan', 'tersebut', 'dihidangkan', 'secara', 'menarik', 'khususnya', 'paduan', 'warna', 'sehingga', 'mengundang', 'perhatian', 'para', 'delegasi']"
79,"['mari', 'bersama', 'dukung', 'penuh', 'pertemuan', 'empower', 'untuk', 'menjadikan', 'perempuan', 'sebagai', 'katalisator', 'dalam', 'pembangunan', 'ek']"
80,"['mari', 'dukung', 'penuh', 'pertemuan', 'empower', 'untuk', 'menjadikan', 'perempuan', 'sebagai', 'katalisator', 'dalam', 'pembangunan', 'ekonomi', 'dunia']"
81,"['masalah', 'inklusi', 'keuangan', 'dan', 'transformasi', 'digital', 'ini', 'ternyata', 'memang', 'sangat', 'penting', 'yamaka', 'itu', 'pula', 'topik', 'ini']"
82,"['melalui', 'berbagai', 'terobosan', 'merdeka', 'belajar', 'pemulihan', 'pembelajaran', 'dilakukan', 'antara', 'lain', 'dengan', 'menghadirkan', 'kuriku']"
83,"['melanjutkan', 'pertemuan', 'perdana', 'education', 'working', 'group', 'edwg', 'pada', 'maret', 'lalu', 'kemendikbudristek', 'akan']"
84,"['mendikbud', 'ristek', 'nadiem', 'makarim', 'akan', 'memperkenalkan', 'program', 'merdeka', 'belajar', 'kepada', 'negaranegara', 'pada', 'hari', 'ini']"
85,"['mendikbudristek', 'akan', 'sampaikan', 'berbagai', 'terobosan', 'merdeka', 'belajar', 'dalam', 'pertemuan', 'kedua', 'edwg', 'gindonesia', 'presiden']"
86,"['menindaklanjuti', 'st', 'edmcswg', 'di', 'yogyakarta', 'dan', 'sebelum', 'pertemuan', 'ke', 'yang', 'akan', 'dilaksanakan', 'di', 'jakarta', 'pada', 'tang']"
87,"['menkominfo', 'johnny', 'plate', 'mengatakan', 'pemerintah', 'berkoordinasi', 'dengan', 'anggota', 'lainnya', 'partner', 'lokal', 'dan', 'globa']"
88,"['menkominfo', 'berharap', 'agar', 'sidang', 'kedua', 'dewg', 'ini', 'dapat', 'menghasilkan', 'kesepakatan', 'terbaik', 'dan', 'setiap', 'delegasi', 'memiliki']"
89,"['menkominfo', 'menjelaskan', 'sidang', 'kedua', 'dewg', 'berjalan', 'dengan', 'baik', 'lancar', 'dan', 'fokus', 'terdapat', 'pemahaman', 'yang', 'saling', 'meleng']"
90,"['menparekraf', 'juga', 'berpesan', 'agar', 'kedepannya', 'kita', 'bisa', 'berkolaborasi', 'membangun', 'pariwisata', 'berkelanjutan', 'yang', 'mengedepa']"
91,"['menteri', 'keuangan', 'sri', 'mulyani', 'telah', 'melakukan', 'pertemuan', 'kedua', 'finance', 'ministers', 'and', 'central', 'bank', 'governors', 'fmcbg']"
92,"['menteri', 'komunikasi', 'dan', 'informatika', 'johnny', 'plate', 'menyambut', 'para', 'delegasi', 'negara', 'anggota', 'yang', 'hadir']"
93,"['nah', 'coba', 'tulis', 'harapanmu', 'untuk', 'presidensi', 'indonesia', 'di', 'kolom', 'komentar', 'ya', 'xgindonesia', 'pulihbersama']"
94,"['narahubung', 'makincakapdigital', 'cfdsbagiilmu', 'eventmahasiswa', 'eventjogja', 'eventonline']"
95,"['oleh', 'karena', 'itu', 'bekerjasama', 'dengan', 'sinarmas', 'land', 'mengadakan', 'side', 'event', 'dengan', 'temaac']"
96,"['one', 'global', 'women', 'empowerment', 'ogwe', 'merupakan', 'sebuah', 'platform', 'yang', 'dirancang', 'untuk', 'memungkinkan', 'pengusaha', 'perempuan', 'didu']"
97,"['prakarsa', 'sebagai', 'anggota', 'memandang', 'perlindungan', 'yang', 'adaptif', 'terhadap', 'pekerja', 'informal', 'harus', 'diperluas', 'penin']"
98,"['pada', 'dan', 'telah', 'menyelenggarakan', 'seminar', 'internasional', 'sebagai', 'side', 'event', 'gindonesi']"
99,"['pada', 'pelaksanaannya', 'mengoordinasikan', 'pembahasan', 'isuisu', 'sherpa', 'track', 'dan', 'berperan', 'dalam', 'mem']"
100,"['pandemi', 'covid', 'telah', 'menurunkan', 'daya', 'beli', 'masyarakat', 'pasalnya', 'masyarakat', 'telah', 'mengurangi', 'interaksi', 'di', 'luar', 'ruangan']"
101,"['pasar', 'ekologi', 'argowijil', 'merupakan', 'pasar', 'tradisional', 'yang', 'memegang', 'prinsip', 'pengendalian', 'pembangunan', 'sektor', 'pertambangan']"
102,"['pembahasan', 'isu', 'melalui', 'pertemuan', 'sherpa', 'track', 'ini', 'diharapkan', 'dapat', 'menghasilkan', 'political', 'declaration', 'tingkat', 'mente']"
103,"['pembentukan', 'pasar', 'ekologis', 'ini', 'diinisiasi', 'oleh', 'melalui', 'untuk', 'memulihkan', 'lokasi', 'bekas', 'tambang']"
104,"['pemerataan', 'akses', 'energi', 'dinegara', 'kepulauangindonesia', 'dorongnkrilebihmaju']"
105,"['pemerintah', 'indonesia', 'melalui', 'forum', 'mendorong', 'peningkatan', 'aksesibilitas', 'di', 'negara', 'kepulauangindonesia']"
106,"['pemerintah', 'indonesia', 'melalui', 'forum', 'mendorong', 'peningkatan', 'aksesibilitas', 'di', 'negara', 'kepulauanpemerataan', 'aks']"
107,"['penggunaan', 'kendaraan', 'listrik', 'ini', 'juga', 'merupakan', 'salah', 'satu', 'strategi', 'untuk', 'mencapai', 'target', 'indonesia', 'menurunkan', 'emisi', 'se']"
108,"['percepatan', 'inklusi', 'keuangan', 'dan', 'transformasi', 'digital', 'untuk', 'mendorong', 'pertumbuhan', 'ekonomi', 'berkelanjutan', 'jadi', 'salah']"
109,"['percepatan', 'inklusi', 'keuangan', 'dan', 'transformasi', 'digital', 'untuk', 'mendorong', 'pertumbuhan', 'ekonomi', 'berkelanjutan', 'jadi', 'salah', 'satu', 'fo']"
110,"['persidangan', 'pertama', 'permohonan', 'pergantian', 'perwalian', 'dan', 'relokasi', 'ketiga', 'anak', 'almh', 'farah', 'rasyid', 'munif', 'ke', 'tanah', 'air']"
111,"['pertemuan', 'education', 'working', 'group', 'edwg', 'yang', 'membahas', 'dua', 'agenda', 'prioritas', 'dan', 'inisiatif', 'kemendikbudristek']"
112,"['pertemuan', 'ini', 'berfokus', 'pada', 'agenda', 'prioritas', 'dari', 'edwg', 'yaitu', 'pendidikan', 'berkualitas', 'universal', 'dan', 'teknologi', 'digi']"
113,"['pertemuan', 'ini', 'berfokus', 'pada', 'agenda', 'prioritas', 'dari', 'edwg', 'yaitu', 'pendidikan', 'berkualitas', 'universal', 'dan', 'teknologi', 'digital']"
114,"['pertemuan', 'ini', 'bertujuan', 'membahas', 'lebih', 'lanjut', 'kajiankajian', 'cswg', 'berdasarkan', 'masukan', 'dan', 'saran', 'dari', 'negaranegara']"
115,"['pertemuan', 'kedua', 'digital', 'economy', 'working', 'group', 'dewg', 'akan', 'diselenggarakan', 'pada', 'mei', 'di', 'yogyakarta', 'pertem']"
116,"['pertemuan', 'kedua', 'digital', 'economy', 'working', 'group', 'dewg', 'akan', 'diselenggarakan', 'pada', 'mei', 'di', 'yogyakarta', 'pertemuan']"
117,"['pertemuan', 'kedua', 'kelompok', 'kerja', 'pendidikan', 'atau', 'education', 'working', 'group', 'edwg', 'membahas', 'mengenai', 'peningkatan', 'kap']"
