tanggal,teks
2022-05-20 04:56:37+00:00,"b'RT @Indonesia_G20: Menkominfo menjelaskan, Sidang Kedua DEWG berjalan dengan baik, lancar, dan fokus. Terdapat pemahaman yang saling meleng\xe2\x80\xa6'"

2022-05-20 04:56:33+00:00,"b'RT @Indonesia_G20: Rabu (18/05) Menkominfo (@kemkominfo), Johnny G. Plate didampingi Chair dan Alternate Chair DEWG melakukan konferensi pe\xe2\x80\xa6'"

2022-05-20 04:56:27+00:00,b'Halo #SobatKom!\nPembentukan G20 bertujuan untuk mewujudkan pertumbuhan global yang kuat serta berkelanjutan. Lantas\xe2\x80\xa6 https://t.co/5w0GCl20vi'

2022-05-20 04:56:13+00:00,"b'RT @Indonesia_G20: Pada pelaksanaannya, @PerekonomianRI &amp; @Kemlu_RI mengoordinasikan pembahasan isu-isu sherpa track dan berperan dalam mem\xe2\x80\xa6'"

2022-05-20 04:56:08+00:00,b'RT @Indonesia_G20: Sherpa track merupakan forum khusus pada G20 yang disiapkan untuk membahas isu-isu ekonomi non keuangan. Panduan pembaha\xe2\x80\xa6'

2022-05-20 04:56:00+00:00,b'RT @Indonesia_G20: Talk Show I: Safeguarding Nature\nTalk Show II: Promoting Circular Economy\n\nYuk! Segera daftarkan dirimu melalui link ber\xe2\x80\xa6'

2022-05-20 04:33:43+00:00,"b'RT @antaranews: Presidensi G20 Indonesia usulkan empat prinsip ukuran literasi digital, yakni infrastruktur dan ekosistem, literasi, pember\xe2\x80\xa6'"

2022-05-20 04:32:51+00:00,"b'Presidensi G20 Indonesia usulkan empat prinsip ukuran literasi digital, yakni infrastruktur dan ekosistem, literasi\xe2\x80\xa6 https://t.co/1toiQszuIF'"

2022-05-20 04:06:53+00:00,b'Talk Show I: Safeguarding Nature\nTalk Show II: Promoting Circular Economy\n\nYuk! Segera daftarkan dirimu melalui lin\xe2\x80\xa6 https://t.co/gWkylQHEY3'

2022-05-20 03:59:19+00:00,"b'Mantuul...\xf0\x9f\x91\x8c\nMakanan tersebut dihidangkan Secara menarik khususnya Paduan warna , sehingga Mengundang perhatian para\xe2\x80\xa6 https://t.co/jkxSRDDLM1'"

2022-05-20 03:50:37+00:00,b'RT @Indonesia_G20: Sherpa track merupakan forum khusus pada G20 yang disiapkan untuk membahas isu-isu ekonomi non keuangan. Panduan pembaha\xe2\x80\xa6'

2022-05-20 02:44:46+00:00,b'RT @Indonesia_G20: Sherpa track merupakan forum khusus pada G20 yang disiapkan untuk membahas isu-isu ekonomi non keuangan. Panduan pembaha\xe2\x80\xa6'

2022-05-20 02:39:39+00:00,b'RT @kkpgoid: Yuk #SahabatBahari kita dukung kegiatan DEWG G20 dan kenalkan kuliner daerah kepada dunia \xf0\x9f\x98\x89\xe2\x9c\xa8\n\n#G20Indonesia #G20KKP #KKPAccele\xe2\x80\xa6'

2022-05-20 02:38:28+00:00,"b'RT @bank_indonesia: UMKM merupakan salah satu sektor yg paling terdampak oleh pandemi. Utk #PulihBersama, Presidensi #G20Indonesia menetapk\xe2\x80\xa6'"

2022-05-20 02:12:24+00:00,b'Pembahasan isu melalui pertemuan sherpa track ini diharapkan dapat menghasilkan political declaration tingkat mente\xe2\x80\xa6 https://t.co/fFvvVhgcrC'

2022-05-20 02:12:23+00:00,"b'Pada pelaksanaannya, @PerekonomianRI &amp; @Kemlu_RI mengoordinasikan pembahasan isu-isu sherpa track dan berperan dala\xe2\x80\xa6 https://t.co/ESyeeO8IfK'"

2022-05-20 02:12:21+00:00,b'Sherpa track merupakan forum khusus pada G20 yang disiapkan untuk membahas isu-isu ekonomi non keuangan. Panduan pe\xe2\x80\xa6 https://t.co/9E2czeRHV7'

2022-05-20 01:55:48+00:00,"b'RT @bank_indonesia: UMKM merupakan salah satu sektor yg paling terdampak oleh pandemi. Utk #PulihBersama, Presidensi #G20Indonesia menetapk\xe2\x80\xa6'"

2022-05-20 01:38:55+00:00,"b'RT @bank_indonesia: #SobatRupiah, BI mendorong kerja sama digitalisasi sistem pembayaran antarnegara melalui agenda Presidensi #G20Indonesi\xe2\x80\xa6'"

2022-05-20 01:38:08+00:00,"b'RT @bank_indonesia: UMKM merupakan salah satu sektor yg paling terdampak oleh pandemi. Utk #PulihBersama, Presidensi #G20Indonesia menetapk\xe2\x80\xa6'"

2022-05-20 01:00:11+00:00,"b'RT @bank_indonesia: UMKM merupakan salah satu sektor yg paling terdampak oleh pandemi. Utk #PulihBersama, Presidensi #G20Indonesia menetapk\xe2\x80\xa6'"

2022-05-20 00:47:13+00:00,"b'RT @bank_indonesia: UMKM merupakan salah satu sektor yg paling terdampak oleh pandemi. Utk #PulihBersama, Presidensi #G20Indonesia menetapk\xe2\x80\xa6'"

2022-05-19 23:36:28+00:00,b'Pemerintah Indonesia melalui forum G20 mendorong peningkatan aksesibilitas di negara kepulauan\n\n-----\n#G20Indonesia\xe2\x80\xa6 https://t.co/yZdZhfBEoa'

2022-05-19 23:36:12+00:00,b'Pemerataan akses energi dinegara kepulauan\n-----\n#G20Indonesia \n#DorongNKRILebihMaju https://t.co/hjyA1x5wEv https://t.co/nRxLtTk19e'

2022-05-19 23:32:02+00:00,b'Pemerintah Indonesia melalui forum G20 mendorong peningkatan aksesibilitas di negara kepulauan\n-----\nPemerataan aks\xe2\x80\xa6 https://t.co/z0UeaXJJRd'

2022-05-19 22:22:53+00:00,"b'RT @bank_indonesia: UMKM merupakan salah satu sektor yg paling terdampak oleh pandemi. Utk #PulihBersama, Presidensi #G20Indonesia menetapk\xe2\x80\xa6'"

2022-05-19 13:29:10+00:00,b'Talk Show I: Safeguarding Nature\nTalk Show II: Promoting Circular Economy\n\nYuk! Segera daftarkan dirimu melalui lin\xe2\x80\xa6 https://t.co/Nb2OVjTLAG'

2022-05-19 13:05:08+00:00,b'RT @abu_bakar_id: @NgkongRoses Kawal Programkerja @jokowi s.d. 2024..\nUntuk kebaikan bangsa dan negara #G20Indonesia \n#SayaBersamaJokowi ht\xe2\x80\xa6'

2022-05-19 13:04:05+00:00,b'DEWG #G20Indonesia Sepakati Lima Isu Krusial di Dunia Digital https://t.co/uLPzJUprXv via @idntimes'

2022-05-19 12:55:14+00:00,b'RT @kkpgoid: Yuk #SahabatBahari kita dukung kegiatan DEWG G20 dan kenalkan kuliner daerah kepada dunia \xf0\x9f\x98\x89\xe2\x9c\xa8\n\n#G20Indonesia #G20KKP #KKPAccele\xe2\x80\xa6'

2022-05-19 12:20:05+00:00,b'RT @kkpgoid: Yuk #SahabatBahari kita dukung kegiatan DEWG G20 dan kenalkan kuliner daerah kepada dunia \xf0\x9f\x98\x89\xe2\x9c\xa8\n\n#G20Indonesia #G20KKP #KKPAccele\xe2\x80\xa6'

2022-05-19 12:17:20+00:00,"b'UPDATE KASUS COVID-19 DI THAILAND PER 19 Mei 2022\nPada hari ini terdapat 6.305 kasus baru, 7.567 orang sembuh dan 4\xe2\x80\xa6 https://t.co/bQWJxjWPOa'"

2022-05-19 10:51:54+00:00,b'RT @KATADATAcoid: Presiden Joko Widodo berkomunikasi via saluran telepon dengan Presiden Rusia Vladimir Putin terkait agenda KTT G20. Komun\xe2\x80\xa6'

2022-05-19 10:49:47+00:00,"b'RT @IndonesiaBaikId: Hai, SohIB! Sebagai tempat banyak pertemuan konferensi internasional seperti IMF, World Bank 2018, serta KTT G20 2022,\xe2\x80\xa6'"

2022-05-19 10:31:42+00:00,"b'RT @Indonesia_G20: Rabu (18/05) Menkominfo (@kemkominfo), Johnny G. Plate didampingi Chair dan Alternate Chair DEWG melakukan konferensi pe\xe2\x80\xa6'"

2022-05-19 10:31:18+00:00,b'Pertemuan kedua mendasari agenda pembahasan pada agenda pertemuan ketiga di Labuan Bajo 20-21 Juli 2022. Presidensi\xe2\x80\xa6 https://t.co/JI3nnND9SB'

2022-05-19 10:31:17+00:00,"b'Menkominfo menjelaskan, Sidang Kedua DEWG berjalan dengan baik, lancar, dan fokus. Terdapat pemahaman yang saling m\xe2\x80\xa6 https://t.co/6P3mZP8QaA'"

2022-05-19 10:31:17+00:00,"b'Rabu (18/05) Menkominfo (@kemkominfo), Johnny G. Plate didampingi Chair dan Alternate Chair DEWG melakukan konferen\xe2\x80\xa6 https://t.co/0a4cFvIev5'"

2022-05-19 10:19:50+00:00,"b'UMKM merupakan salah satu sektor yg paling terdampak oleh pandemi. Utk #PulihBersama, Presidensi #G20Indonesia mene\xe2\x80\xa6 https://t.co/lGhXcx4otY'"

2022-05-19 10:19:32+00:00,b'Versi budaya jawa dengan thailand nihh numpang rame di #G20Indonesia #ThailandOpen2022 #Thailand #wayang #Polisi\xe2\x80\xa6 https://t.co/At6Q7IBhYO'

2022-05-19 10:09:45+00:00,b'RT @Indonesia_G20: Dalam rangka meningkatkan upaya strategis gabungan untuk mempercepat transisi energi &amp; mengurangi emisi karbon yang seja\xe2\x80\xa6'

2022-05-19 10:01:30+00:00,"b'Oleh karena itu, B20 (@b20) bekerjasama dengan Sinarmas Land (@sinarmas_land) mengadakan Side Event dengan tema \xe2\x80\x9cAc\xe2\x80\xa6 https://t.co/69MfS2eS6F'"

2022-05-19 10:01:29+00:00,b'Dalam rangka meningkatkan upaya strategis gabungan untuk mempercepat transisi energi &amp; mengurangi emisi karbon yang\xe2\x80\xa6 https://t.co/QBT9MreqhF'

2022-05-19 09:21:09+00:00,b'RT @KemenkeuRI: \xf0\x9f\x94\xb4SEDANG BERLANGSUNG\n\n\xe2\x80\x9cthe G20 Sustainable Finance Private Sector Roundtable\xe2\x80\x9d \n\nForum ini menjadi tempat berdiskusi tentang\xe2\x80\xa6'

2022-05-19 09:18:16+00:00,b'RT @KemenkeuRI: Anggota G20 menyerukan diakhirinya perang sesegera mungkin.\n\nHal ini disampaikan #MenkeuSMI dalam konferesi pers yang diada\xe2\x80\xa6'

2022-05-19 09:17:52+00:00,"b'RT @KemenkeuRI: Selamat malam, Temankeu.\xf0\x9f\x8c\x99\n\nPertemuan Kedua Finance Ministers and Central Bank Governors (FMCBG) #G20Indonesia akan berlangs\xe2\x80\xa6'"

2022-05-19 07:27:13+00:00,b'Bonus demografi ini menjadi kesempatan strategis bagi \xf0\x9f\x87\xb2\xf0\x9f\x87\xa8  untuk melakukan berbagai percepatan pembangunan dengan du\xe2\x80\xa6 https://t.co/DTeyTjSboD'

2022-05-19 07:27:12+00:00,"b'Di tahun 2030 \xe2\x80\x93 2040, penduduk usia produktif (15-64 tahun) di \xf0\x9f\x87\xb2\xf0\x9f\x87\xa8 akan lebih besar dibanding usia nonproduktif (65\xe2\x80\xa6 https://t.co/FHkN6vk3wX'"

2022-05-19 07:27:11+00:00,b'Indonesia G20pedia:\nMengapa Lapangan Kerja Berkelanjutan Jadi Agenda Penting bagi \xf0\x9f\x87\xb2\xf0\x9f\x87\xa8 di G20?\n\n@Kemlu_RI\xe2\x80\xa6 https://t.co/YbZ716NM5d'

2022-05-19 06:36:40+00:00,"b'RT @Indonesia_G20: Melanjutkan pertemuan perdana G20 Education Working Group (EdWG) pada Maret lalu, Kemendikbudristek (@Kemdikbud_RI) akan\xe2\x80\xa6'"

2022-05-19 06:36:25+00:00,"b'RT @Indonesia_G20: Pertemuan ini berfokus pada 2 agenda prioritas dari EdWG, yaitu pendidikan berkualitas universal dan teknologi digital d\xe2\x80\xa6'"

2022-05-19 06:36:23+00:00,"b'RT @Indonesia_G20: Dalam rangka mewujudkan upaya global untuk dapat #PulihBersama dan menciptakan pendidikan berkualitas di seluruh dunia,\xe2\x80\xa6'"

