tanggal,teks
2022-02-21 16:04:25+00:00,b'Jadwal MotoGP 2022 Terbaru: GP Indonesia di Sirkuit Mandalika Tetap Jadi Seri ke-2 Setelah GP Qatar\xe2\x80\xa6 https://t.co/6ztSS7LCJe'

2022-02-21 15:02:09+00:00,"b'RT @Susansiti96: Siang menjelang sore enaknya ngemil apa nih?  Jgn lupa makan siang ya. Ohya, btw, ada yg sama sprti aku gak nih, yg pengen\xe2\x80\xa6'"

2022-02-21 12:03:19+00:00,b'Kira-kira informasi mana yang paling menarik perhatian Purple People?? \xf0\x9f\xa4\x94\n\n#motogpmandalika\n#MotoGP2022 https://t.co/Z7UBHqJttw'

2022-02-21 11:51:39+00:00,b'BMW Indonesia menyerahkan satu unit BMW 330e M Sport kepada MGPA sebagai Safety Car MotoGP Indonesia 2022.\xe2\x80\xa6 https://t.co/pyfBE5irxx'

2022-02-21 10:52:52+00:00,b'\xf0\x9f\x98\x8dSedia Guest House bagi Traveller yang gk kebagiaan penginapan atau harga yang kemahalan saat nonton MotoGP. Bookin\xe2\x80\xa6 https://t.co/p0YPORHejz'

2022-02-21 09:25:51+00:00,"b'Sirkuit Mandalika Berdebu saat Tes Pramusim MotoGP 2022, Komentar Bos Sirkuit Sepang Bikin Adem\xe2\x80\xa6 https://t.co/vT6iuE8F0M'"

2022-02-21 08:30:00+00:00,b'Saksikan event balap penuh aksi &amp; sensasi\xf0\x9f\x91\x8d #MotoGPSeri2 di #SirkuitMandalika sirkuit kebanggaan Indonesia di bulan\xe2\x80\xa6 https://t.co/cnukh4iZBs'

2022-02-21 07:13:31+00:00,b'RT @_pln_id: LISTRIK TANPA KEDIP UNTUK TES PRAMUSIM MOTOGP DI SIRKUIT MANDALIKA \n\n#PLN #MotoGP #Mandalika #PLNSupportsMotoGP #motogpmandali\xe2\x80\xa6'

2022-02-21 06:08:22+00:00,"b'Pengaspalan Ulang Sirkuit Mandalika Bakal Segera Dimulai\nhttps://t.co/WFkP8bktfO, #Nasional\xe2\x80\x93 Pengaspalan ulang Sirk\xe2\x80\xa6 https://t.co/P3vqQpx03i'"

2022-02-21 04:51:28+00:00,b'RT @_pln_id: LISTRIK TANPA KEDIP UNTUK TES PRAMUSIM MOTOGP DI SIRKUIT MANDALIKA \n\n#PLN #MotoGP #Mandalika #PLNSupportsMotoGP #motogpmandali\xe2\x80\xa6'

2022-02-21 03:59:23+00:00,b'RT @_pln_id: LISTRIK TANPA KEDIP UNTUK TES PRAMUSIM MOTOGP DI SIRKUIT MANDALIKA \n\n#PLN #MotoGP #Mandalika #PLNSupportsMotoGP #motogpmandali\xe2\x80\xa6'

2022-02-21 03:37:33+00:00,"b'RT @_pln_id: Selain itu PLN juga menyediakan beberapa unit Uninterruptible Power System (UPS), genset dan gardu bergerak sebagai cadangan j\xe2\x80\xa6'"

2022-02-21 03:37:28+00:00,b'RT @_pln_id: PLN juga siapkan pasokan listrik untuk sarana pendukung dan berhasil mengantisipasi lonjakan konsumsi listrik karena antusiasm\xe2\x80\xa6'

2022-02-21 03:36:16+00:00,"b'@_pln_id Mantap, PLN Terbaik \xe2\x9d\xa4\xef\xb8\x8f\xe2\x9d\xa4\xef\xb8\x8f\n#PLN #MotoGP #Mandalika #PLNSupportsMotoGP #motogpmandalika #motogpindonesia  #PowerBeyondGenerations'"

2022-02-21 03:35:54+00:00,b'RT @_pln_id: LISTRIK TANPA KEDIP UNTUK TES PRAMUSIM MOTOGP DI SIRKUIT MANDALIKA \n\n#PLN #MotoGP #Mandalika #PLNSupportsMotoGP #motogpmandali\xe2\x80\xa6'

2022-02-21 03:30:00+00:00,"b'Pemerintah Siapkan Paket Wisata Seharga Rp1,5 Juta di Perhelatan MotoGP Mandalika\n\nBaca selengkapnya disini\xe2\x80\xa6 https://t.co/9uDL4A1wjI'"

2022-02-21 01:42:32+00:00,b'#motogpmandalika  di #Lombok Pengaruhi Tingkat Hunian Hotel di #Bali\n\nhttps://t.co/HfWLZt0K2l'

2022-02-21 00:27:02+00:00,b'RT @_pln_id: LISTRIK TANPA KEDIP UNTUK TES PRAMUSIM MOTOGP DI SIRKUIT MANDALIKA \n\n#PLN #MotoGP #Mandalika #PLNSupportsMotoGP #motogpmandali\xe2\x80\xa6'

2022-02-20 23:47:20+00:00,b'RT @_pln_id: LISTRIK TANPA KEDIP UNTUK TES PRAMUSIM MOTOGP DI SIRKUIT MANDALIKA \n\n#PLN #MotoGP #Mandalika #PLNSupportsMotoGP #motogpmandali\xe2\x80\xa6'

2022-02-20 11:06:14+00:00,"b'Jadwal MotoGP 2022 Lengkap dengan Jam Tayang GP Mandalika di TV, Akses Nonton Live Streaming Trans7\xe2\x80\xa6 https://t.co/N4xdU0KZX0'"

2022-02-20 10:26:36+00:00,b'Gotong - Royong #motogpmandalika https://t.co/bqU8J1Ii8I'

2022-02-20 03:30:00+00:00,b'Sandiaga Uno buat program agar tiket #MotoGPMandalika lebih terjangkau.\n\nhttps://t.co/yJDechBwS0'

2022-02-20 03:28:40+00:00,b'RT @_pln_id: LISTRIK TANPA KEDIP UNTUK TES PRAMUSIM MOTOGP DI SIRKUIT MANDALIKA \n\n#PLN #MotoGP #Mandalika #PLNSupportsMotoGP #motogpmandali\xe2\x80\xa6'

2022-02-19 15:09:08+00:00,b'Lintasan Sirkuit Mandalika Siap Diaspal Ulang usai Peralatan Berat Tiba\n#sirkuitmandalika #Mandalika #aspal #Lombok\xe2\x80\xa6 https://t.co/gAp5qioUP8'

