2022-03-21 09:52:18+00:00,b'Semoga kedepannya #MotoGPMandalika  gak ky gini lg \xf0\x9f\x98\xad\xf0\x9f\xa5\xb2',Sabrina Putri D
2022-03-21 09:51:31+00:00,"b'Sampe ak bela2in bikin twitter supaya ak pny platform aja buat nulis . Jujur ak kecewa bgt beli tiket #MotoGPMandalika  dengan harga 1,6 jt ak beli 2 kaya lumayan bgt harganya ... trnyata bener2 ga sesuai sm harga ...'",Sabrina Putri D
2022-03-21 09:51:24+00:00,b'@P3nj3l4j4h_id Membelokan kesuksesan #MotoGPMandalika \xf0\x9f\xa4\x94 \n\nTidak mau mengakui \xf0\x9f\xa4\xad',范
2022-03-21 09:51:10+00:00,b'RT @__wantaNKRI: Pak Ganjar... \nPak ganjar..... \nDemikian bunyi sambutan penonton #MotoGPMandalika pada Gubernur Jateng @ganjarpranowo yang\xe2\x80\xa6',P W S
2022-03-21 09:49:00+00:00,"b'RT @aniesbaswedan: Hujan deras tidak menyurutkan semangat ribuan penonton di tribun Sirkuit Mandalika hari ini. Alhamdulillah, dapat kembal\xe2\x80\xa6'",🇮🇩REPUBLIK PLANGA PLONGO🇮🇩
2022-03-21 09:48:56+00:00,"b'RT @apnmoa: Pada tahun 1997  @Anggun_Cipta mengenalkan "" Pawang Hujan "" pada Dunia dalam lagunya yang berjudul Pluies. Hari ini, @MotoGP me\xe2\x80\xa6'",Ushy Cristyani
2022-03-21 09:47:27+00:00,"b'Dpt di grup trnyata  sampe jam 2 pagi msh ada penumpang ga bisa pulang.. sad bgt acara kali ini #MotoGPMandalika  yg di UP hanya tribun VVIP yg 15 jt . Kita2 yg beli harga 1,5 jt dibeginikan . So sad \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad https://t.co/HG0OBllzKt'",Sabrina Putri D
2022-03-21 09:45:52+00:00,b'Dapat bis jam 10 malem pdhl acara selesai jam 5 sore dan diluar msh ribuan orang ... \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad #MotoGPMandalika  penonton terlantar https://t.co/RYMmg1fOb3',Sabrina Putri D
2022-03-21 09:45:35+00:00,"b'RT @Mancode_ID: Dirancang Tuksedo Studio, trofi MotoGP, Moto2, Moto3, dan Asian Cup Talent di Mandalika terinpsirasi dari \xe2\x80\x9cObor\xe2\x80\x9d yang melam\xe2\x80\xa6'",Yanto
2022-03-21 09:45:16+00:00,"b'Alhamdulillah, #bocil #Thailand #BuronanInternasional yg sdh mengejek @siwonchoi dg acungkan #JariTengah , sdh tertangkap n sdg di #ruqyah agar #tobat jelang #Ramadhan . \xf0\x9f\x98\x8e\xf0\x9f\xa4\xa3\xf0\x9f\x91\xbb. Cc: @UNICEF , @DPR_RI , @luculucuaaan , @corbuzier , @MataNajwa , @univ_indonesia , #MotoGPMandalika https://t.co/tPJnkVLUI3'",Go Dakwah
